name;offset;size;description;bitfield
..femr;5862;1;;1
..aemn;5867;5;;1
...ces;5872;16;;0
.re;5872;1;;1
..bt;5878;1;;1
..bd;5879;1;;1
..rnr;5880;1;;1
..rtt;5884;1;;1
..anfes;5885;1;;1
...ues;5888;32;;0
.te;5888;1;;1
..dlpe;5892;1;;1
..sde;5893;1;;1
..pt;5900;1;;1
..fcpe;5901;1;;1
..ct;5902;1;;1
..ca;5903;1;;1
..uc;5904;1;;1
..ro;5905;1;;1
..mt;5906;1;;1
..ee;5907;1;;1
..ure;5908;1;;1
..avs;5909;1;;1
..ptlpebs;5914;1;;1
...esid;5920;32;;0
.ecsid;5920;16;;1
..efnfsid;5936;16;;1
.....port3.cfg.res;6192;16;;0
.cr;6192;1;;1
..mcr;6193;1;;1
..enr;6194;1;;1
..menr;6195;1;;1
..fuf;6196;1;;1
..nfemr;6197;1;;1
..femr;6198;1;;1
..aemn;6203;5;;1
...ces;6208;16;;0
.re;6208;1;;1
..bt;6214;1;;1
..bd;6215;1;;1
..rnr;6216;1;;1
..rtt;6220;1;;1
..anfes;6221;1;;1
...ues;6224;32;;0
.te;6224;1;;1
..dlpe;6228;1;;1
..sde;6229;1;;1
..pt;6236;1;;1
..fcpe;6237;1;;1
..ct;6238;1;;1
..ca;6239;1;;1
..uc;6240;1;;1
..ro;6241;1;;1
..mt;6242;1;;1
..ee;6243;1;;1
..ure;6244;1;;1
..avs;6245;1;;1
..ptlpebs;6250;1;;1
...esid;6256;32;;0
.ecsid;6256;16;;1
..efnfsid;6272;16;;1
pmc.pcie3.port0.cfg.res;6528;16;;0
.cr;6528;1;;1
..mcr;6529;1;;1
..enr;6530;1;;1
..menr;6531;1;;1
..fuf;6532;1;;1
..nfemr;6533;1;;1
..femr;6534;1;;1
..aemn;6539;5;;1
...ces;6544;16;;0
.re;6544;1;;1
..bt;6550;1;;1
..bd;6551;1;;1
..rnr;6552;1;;1
..rtt;6556;1;;1
..anfes;6557;1;;1
...ues;6560;32;;0
.te;6560;1;;1
..dlpe;6564;1;;1
..sde;6565;1;;1
..pt;6572;1;;1
..fcpe;6573;1;;1
..ct;6574;1;;1
..ca;6575;1;;1
..uc;6576;1;;1
..ro;6577;1;;1
..mt;6578;1;;1
..ee;6579;1;;1
..ure;6580;1;;1
..avs;6581;1;;1
..ptlpebs;6586;1;;1
...esid;6592;32;;0
.ecsid;6592;16;;1
..efnfsid;6608;16;;1
.....port1.cfg.res;6864;16;;0
.cr;6864;1;;1
..mcr;6865;1;;1
..enr;6866;1;;1
..menr;6867;1;;1
..fuf;6868;1;;1
..nfemr;6869;1;;1
..femr;6870;1;;1
..aemn;6875;5;;1
...ces;6880;16;;0
.re;6880;1;;1
..bt;6886;1;;1
..bd;6887;1;;1
..rnr;6888;1;;1
..rtt;6892;1;;1
..anfes;6893;1;;1
...ues;6896;32;;0
.te;6896;1;;1
..dlpe;6900;1;;1
..sde;6901;1;;1
..pt;6908;1;;1
..fcpe;6909;1;;1
..ct;6910;1;;1
..ca;6911;1;;1
..uc;6912;1;;1
..ro;6913;1;;1
..mt;6914;1;;1
..ee;6915;1;;1
..ure;6916;1;;1
..avs;6917;1;;1
..ptlpebs;6922;1;;1
...esid;6928;32;;0
.ecsid;6928;16;;1
..efnfsid;6944;16;;1
.....port2.cfg.res;7200;16;;0
.cr;7200;1;;1
..mcr;7201;1;;1
..enr;7202;1;;1
..menr;7203;1;;1
..fuf;7204;1;;1
..nfemr;7205;1;;1
..femr;7206;1;;1
..aemn;7211;5;;1
...ces;7216;16;;0
.re;7216;1;;1
..bt;7222;1;;1
..bd;7223;1;;1
..rnr;7224;1;;1
..rtt;7228;1;;1
..anfes;7229;1;;1
...ues;7232;32;;0
.te;7232;1;;1
..dlpe;7236;1;;1
..sde;7237;1;;1
..pt;7244;1;;1
..fcpe;7245;1;;1
..ct;7246;1;;1
..ca;7247;1;;1
..uc;7248;1;;1
..ro;7249;1;;1
..mt;7250;1;;1
..ee;7251;1;;1
..ure;7252;1;;1
..avs;7253;1;;1
..ptlpebs;7258;1;;1
...esid;7264;32;;0
.ecsid;7264;16;;1
..efnfsid;7280;16;;1
.....port3.cfg.res;7536;16;;0
.cr;7536;1;;1
..mcr;7537;1;;1
..enr;7538;1;;1
..menr;7539;1;;1
..fuf;7540;1;;1
..nfemr;7541;1;;1
..femr;7542;1;;1
..aemn;7547;5;;1
...ces;7552;16;;0
.re;7552;1;;1
..bt;7558;1;;1
..bd;7559;1;;1
..rnr;7560;1;;1
..rtt;7564;1;;1
..anfes;7565;1;;1
...ues;7568;32;;0
.te;7568;1;;1
..dlpe;7572;1;;1
..sde;7573;1;;1
..pt;7580;1;;1
..fcpe;7581;1;;1
..ct;7582;1;;1
..ca;7583;1;;1
..uc;7584;1;;1
..ro;7585;1;;1
..mt;7586;1;;1
..ee;7587;1;;1
..ure;7588;1;;1
..avs;7589;1;;1
..ptlpebs;7594;1;;1
...esid;7600;32;;0
.ecsid;7600;16;;1
..efnfsid;7616;16;;1
pmc.pcie4.port0.cfg.res;7872;16;;0
.cr;7872;1;;1
..mcr;7873;1;;1
..enr;7874;1;;1
..menr;7875;1;;1
..fuf;7876;1;;1
..nfemr;7877;1;;1
..femr;7878;1;;1
..aemn;7883;5;;1
...ces;7888;16;;0
.re;7888;1;;1
..bt;7894;1;;1
..bd;7895;1;;1
..rnr;7896;1;;1
..rtt;7900;1;;1
..anfes;7901;1;;1
...ues;7904;32;;0
.te;7904;1;;1
..dlpe;7908;1;;1
..sde;7909;1;;1
..pt;7916;1;;1
..fcpe;7917;1;;1
..ct;7918;1;;1
..ca;7919;1;;1
..uc;7920;1;;1
..ro;7921;1;;1
..mt;7922;1;;1
..ee;7923;1;;1
..ure;7924;1;;1
..avs;7925;1;;1
..ptlpebs;7930;1;;1
...esid;7936;32;;0
.ecsid;7936;16;;1
..efnfsid;7952;16;;1
.....port1.cfg.res;8208;16;;0
.cr;8208;1;;1
..mcr;8209;1;;1
..enr;8210;1;;1
..menr;8211;1;;1
..fuf;8212;1;;1
..nfemr;8213;1;;1
..femr;8214;1;;1
..aemn;8219;5;;1
...ces;8224;16;;0
.re;8224;1;;1
..bt;8230;1;;1
..bd;8231;1;;1
..rnr;8232;1;;1
..rtt;8236;1;;1
..anfes;8237;1;;1
...ues;8240;32;;0
.te;8240;1;;1
..dlpe;8244;1;;1
..sde;8245;1;;1
..pt;8252;1;;1
..fcpe;8253;1;;1
..ct;8254;1;;1
..ca;8255;1;;1
..uc;8256;1;;1
..ro;8257;1;;1
..mt;8258;1;;1
..ee;8259;1;;1
..ure;8260;1;;1
..avs;8261;1;;1
..ptlpebs;8266;1;;1
...esid;8272;32;;0
.ecsid;8272;16;;1
..efnfsid;8288;16;;1
.....port2.cfg.res;8544;16;;0
.cr;8544;1;;1
..mcr;8545;1;;1
..enr;8546;1;;1
..menr;8547;1;;1
..fuf;8548;1;;1
..nfemr;8549;1;;1
..femr;8550;1;;1
..aemn;8555;5;;1
...ces;8560;16;;0
.re;8560;1;;1
..bt;8566;1;;1
..bd;8567;1;;1
..rnr;8568;1;;1
..rtt;8572;1;;1
..anfes;8573;1;;1
...ues;8576;32;;0
.te;8576;1;;1
..dlpe;8580;1;;1
..sde;8581;1;;1
..pt;8588;1;;1
..fcpe;8589;1;;1
..ct;8590;1;;1
..ca;8591;1;;1
..uc;8592;1;;1
..ro;8593;1;;1
..mt;8594;1;;1
..ee;8595;1;;1
..ure;8596;1;;1
..avs;8597;1;;1
..ptlpebs;8602;1;;1
...esid;8608;32;;0
.ecsid;8608;16;;1
..efnfsid;8624;16;;1
.....port3.cfg.res;8880;16;;0
.cr;8880;1;;1
..mcr;8881;1;;1
..enr;8882;1;;1
..menr;8883;1;;1
..fuf;8884;1;;1
..nfemr;8885;1;;1
..femr;8886;1;;1
..aemn;8891;5;;1
...ces;8896;16;;0
.re;8896;1;;1
..bt;8902;1;;1
..bd;8903;1;;1
..rnr;8904;1;;1
..rtt;8908;1;;1
..anfes;8909;1;;1
...ues;8912;32;;0
.te;8912;1;;1
..dlpe;8916;1;;1
..sde;8917;1;;1
..pt;8924;1;;1
..fcpe;8925;1;;1
..ct;8926;1;;1
..ca;8927;1;;1
..uc;8928;1;;1
..ro;8929;1;;1
..mt;8930;1;;1
..ee;8931;1;;1
..ure;8932;1;;1
..avs;8933;1;;1
..ptlpebs;8938;1;;1
...esid;8944;32;;0
.ecsid;8944;16;;1
..efnfsid;8960;16;;1
pmc.pcie5.port0.cfg.res;9216;16;;0
.cr;9216;1;;1
..mcr;9217;1;;1
..enr;9218;1;;1
..menr;9219;1;;1
..fuf;9220;1;;1
..nfemr;9221;1;;1
..femr;9222;1;;1
..aemn;9227;5;;1
...ces;9232;16;;0
.re;9232;1;;1
..bt;9238;1;;1
..bd;9239;1;;1
..rnr;9240;1;;1
..rtt;9244;1;;1
..anfes;9245;1;;1
...ues;9248;32;;0
.te;9248;1;;1
..dlpe;9252;1;;1
..sde;9253;1;;1
..pt;9260;1;;1
..fcpe;9261;1;;1
..ct;9262;1;;1
..ca;9263;1;;1
..uc;9264;1;;1
..ro;9265;1;;1
..mt;9266;1;;1
..ee;9267;1;;1
..ure;9268;1;;1
..avs;9269;1;;1
..ptlpebs;9274;1;;1
...esid;9280;32;;0
.ecsid;9280;16;;1
..efnfsid;9296;16;;1
.....port1.cfg.res;9552;16;;0
.cr;9552;1;;1
..mcr;9553;1;;1
..enr;9554;1;;1
..menr;9555;1;;1
..fuf;9556;1;;1
..nfemr;9557;1;;1
..femr;9558;1;;1
..aemn;9563;5;;1
...ces;9568;16;;0
.re;9568;1;;1
..bt;9574;1;;1
..bd;9575;1;;1
..rnr;9576;1;;1
..rtt;9580;1;;1
..anfes;9581;1;;1
...ues;9584;32;;0
.te;9584;1;;1
..dlpe;9588;1;;1
..sde;9589;1;;1
..pt;9596;1;;1
..fcpe;9597;1;;1
..ct;9598;1;;1
..ca;9599;1;;1
..uc;9600;1;;1
..ro;9601;1;;1
..mt;9602;1;;1
..ee;9603;1;;1
..ure;9604;1;;1
..avs;9605;1;;1
..ptlpebs;9610;1;;1
...esid;9616;32;;0
.ecsid;9616;16;;1
